127.0.0.1 - - [26/Mar/2019:19:30:40 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Mar/2019:19:30:43 +0900] "GET /dev/memberInsert.jsp HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [26/Mar/2019:19:30:47 +0900] "GET /dev/ HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [26/Mar/2019:19:30:48 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [26/Mar/2019:19:30:52 +0900] "GET /dev/ HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [26/Mar/2019:19:31:01 +0900] "POST /dev/memberInsert.do HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [26/Mar/2019:20:12:33 +0900] "GET /dev/memberListOutput.jsp HTTP/1.1" 500 2888
0:0:0:0:0:0:0:1 - - [26/Mar/2019:20:12:53 +0900] "GET /dev/ HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [26/Mar/2019:20:12:56 +0900] "GET /dev/ HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [26/Mar/2019:20:13:01 +0900] "GET /dev/ HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [26/Mar/2019:20:13:53 +0900] "GET /dev/ HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [26/Mar/2019:20:14:43 +0900] "GET /dev/ HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [26/Mar/2019:20:14:53 +0900] "GET /dev HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2019:20:14:53 +0900] "GET /dev/ HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [26/Mar/2019:20:14:53 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [26/Mar/2019:20:15:06 +0900] "GET /dev/index.jsp HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [26/Mar/2019:20:16:30 +0900] "GET /dev HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Mar/2019:20:16:30 +0900] "GET /dev/ HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [26/Mar/2019:20:16:31 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [26/Mar/2019:20:16:33 +0900] "GET /dev/ HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [26/Mar/2019:20:20:48 +0900] "GET /dev/ HTTP/1.1" 404 1002
